profile,actor,DD,DPS
apl_sheet226_lm_sa_1,on_cd_am,1361606,4688,
apl_sheet226_lm_sa_1,on_cd_am_trink_pi,1361421,4687,
apl_sheet226_lm_sa_1,on_cd_am_trink_pi_or_vf,1360975,4685,
apl_sheet226_lm_sa_1,on_cd_am_trink_vf,1361732,4688,
apl_sheet226_lm_sa_1,on_cd_hv,1401049,4808,
apl_sheet226_lm_sa_1,on_cd_hv_trink_pi,1402005,4811,
apl_sheet226_lm_sa_1,on_cd_hv_trink_pi_or_vf,1401075,4808,
apl_sheet226_lm_sa_1,on_cd_hv_trink_vf,1401905,4810,
apl_sheet226_lm_sa_1,pi_sync_am_trink_pi,1361351,4687,
apl_sheet226_lm_sa_1,pi_sync_am_trink_pi_or_vf,1361532,4687,
apl_sheet226_lm_sa_1,pi_sync_am_trink_vf,1361562,4687,
apl_sheet226_lm_sa_1,pi_sync_hv_trink_pi,1401513,4810,
apl_sheet226_lm_sa_1,pi_sync_hv_trink_pi_or_vf,1401572,4810,
apl_sheet226_lm_sa_1,pi_sync_hv_trink_vf,1402057,4811,
apl_sheet226_lm_sa_1,vf_sync_am,1361516,4687,
apl_sheet226_lm_sa_1,vf_sync_am_trink_pi,1361834,4688,
apl_sheet226_lm_sa_1,vf_sync_am_trink_pi_or_vf,1361151,4686,
apl_sheet226_lm_sa_1,vf_sync_am_trink_vf,1361379,4686,
apl_sheet226_lm_sa_1,vf_sync_hv,1361796,4688,
apl_sheet226_lm_sa_1,vf_sync_hv_trink_pi,1361797,4688,
apl_sheet226_lm_sa_1,vf_sync_hv_trink_pi_or_vf,1362008,4688,
apl_sheet226_lm_sa_1,vf_sync_hv_trink_vf,1361477,4687,
apl_sheet226_lm_sa_2,Base,1603620,5483,
apl_sheet226_lm_sa_2,Base_am,1586460,5437,
apl_sheet226_lm_sa_2,on_cd_am,1586656,5438,
apl_sheet226_lm_sa_2,on_cd_am_trink_pi,1586124,5436,
apl_sheet226_lm_sa_2,on_cd_am_trink_pi_or_vf,1586451,5436,
apl_sheet226_lm_sa_2,on_cd_am_trink_vf,1586261,5436,
apl_sheet226_lm_sa_2,on_cd_hv,1602988,5482,
apl_sheet226_lm_sa_2,on_cd_hv_trink_pi,1603417,5483,
apl_sheet226_lm_sa_2,on_cd_hv_trink_pi_or_vf,1603421,5483,
apl_sheet226_lm_sa_2,on_cd_hv_trink_vf,1603033,5481,
apl_sheet226_lm_sa_2,pi_sync_am_trink_pi,1586098,5436,
apl_sheet226_lm_sa_2,pi_sync_am_trink_pi_or_vf,1586545,5437,
apl_sheet226_lm_sa_2,pi_sync_am_trink_vf,1586373,5437,
apl_sheet226_lm_sa_2,pi_sync_hv_trink_pi,1603503,5482,
apl_sheet226_lm_sa_2,pi_sync_hv_trink_pi_or_vf,1603635,5483,
apl_sheet226_lm_sa_2,pi_sync_hv_trink_vf,1603211,5482,
apl_sheet226_lm_sa_2,vf_sync_am,1586342,5437,
apl_sheet226_lm_sa_2,vf_sync_am_trink_pi,1586475,5437,
apl_sheet226_lm_sa_2,vf_sync_am_trink_pi_or_vf,1586461,5437,
apl_sheet226_lm_sa_2,vf_sync_am_trink_vf,1586658,5438,
apl_sheet226_lm_sa_2,vf_sync_hv,1585998,5435,
apl_sheet226_lm_sa_2,vf_sync_hv_trink_pi,1586849,5438,
apl_sheet226_lm_sa_2,vf_sync_hv_trink_pi_or_vf,1586352,5436,
apl_sheet226_lm_sa_2,vf_sync_hv_trink_vf,1586213,5437,
apl_sheet226_pw_ba_1,Base,1430236,4907,
apl_sheet226_pw_ba_1,Base_am,1395558,4804,
apl_sheet226_pw_ba_1,on_cd_am,1395662,4804,
apl_sheet226_pw_ba_1,on_cd_am_trink_pi,1395745,4805,
apl_sheet226_pw_ba_1,on_cd_am_trink_pi_or_vf,1395522,4804,
apl_sheet226_pw_ba_1,on_cd_am_trink_vf,1395229,4802,
apl_sheet226_pw_ba_1,on_cd_hv,1429804,4906,
apl_sheet226_pw_ba_1,on_cd_hv_trink_pi,1430010,4906,
apl_sheet226_pw_ba_1,on_cd_hv_trink_pi_or_vf,1429862,4906,
apl_sheet226_pw_ba_1,on_cd_hv_trink_vf,1429921,4906,
apl_sheet226_pw_ba_1,pi_sync_am_trink_pi,1395949,4805,
apl_sheet226_pw_ba_1,pi_sync_am_trink_pi_or_vf,1395456,4803,
apl_sheet226_pw_ba_1,pi_sync_am_trink_vf,1395490,4804,
apl_sheet226_pw_ba_1,pi_sync_hv_trink_pi,1429812,4906,
apl_sheet226_pw_ba_1,pi_sync_hv_trink_pi_or_vf,1430291,4907,
apl_sheet226_pw_ba_1,pi_sync_hv_trink_vf,1430037,4906,
apl_sheet226_pw_ba_1,vf_sync_am,1395538,4804,
apl_sheet226_pw_ba_1,vf_sync_am_trink_pi,1395463,4803,
apl_sheet226_pw_ba_1,vf_sync_am_trink_pi_or_vf,1395346,4803,
apl_sheet226_pw_ba_1,vf_sync_am_trink_vf,1395250,4803,
apl_sheet226_pw_ba_1,vf_sync_hv,1395904,4804,
apl_sheet226_pw_ba_1,vf_sync_hv_trink_pi,1395937,4805,
apl_sheet226_pw_ba_1,vf_sync_hv_trink_pi_or_vf,1396260,4806,
apl_sheet226_pw_ba_1,vf_sync_hv_trink_vf,1395782,4804,
apl_sheet226_pw_ba_2,Base,1641606,5612,
apl_sheet226_pw_ba_2,Base_am,1593930,5465,
apl_sheet226_pw_ba_2,on_cd_am,1593405,5463,
apl_sheet226_pw_ba_2,on_cd_am_trink_pi,1593437,5463,
apl_sheet226_pw_ba_2,on_cd_am_trink_pi_or_vf,1593425,5463,
apl_sheet226_pw_ba_2,on_cd_am_trink_vf,1593983,5464,
apl_sheet226_pw_ba_2,on_cd_hv,1641502,5611,
apl_sheet226_pw_ba_2,on_cd_hv_trink_pi,1641364,5610,
apl_sheet226_pw_ba_2,on_cd_hv_trink_pi_or_vf,1642206,5613,
apl_sheet226_pw_ba_2,on_cd_hv_trink_vf,1641585,5611,
apl_sheet226_pw_ba_2,pi_sync_am_trink_pi,1594094,5465,
apl_sheet226_pw_ba_2,pi_sync_am_trink_pi_or_vf,1593908,5464,
apl_sheet226_pw_ba_2,pi_sync_am_trink_vf,1593882,5464,
apl_sheet226_pw_ba_2,pi_sync_hv_trink_pi,1641627,5611,
apl_sheet226_pw_ba_2,pi_sync_hv_trink_pi_or_vf,1641555,5611,
apl_sheet226_pw_ba_2,pi_sync_hv_trink_vf,1641466,5611,
apl_sheet226_pw_ba_2,vf_sync_am,1593836,5464,
apl_sheet226_pw_ba_2,vf_sync_am_trink_pi,1593643,5464,
apl_sheet226_pw_ba_2,vf_sync_am_trink_pi_or_vf,1593884,5465,
apl_sheet226_pw_ba_2,vf_sync_am_trink_vf,1593543,5464,
apl_sheet226_pw_ba_2,vf_sync_hv,1593824,5465,
apl_sheet226_pw_ba_2,vf_sync_hv_trink_pi,1593685,5464,
apl_sheet226_pw_ba_2,vf_sync_hv_trink_pi_or_vf,1593978,5465,
apl_sheet226_pw_ba_2,vf_sync_hv_trink_vf,1593291,5463,
apl_sheet226_pw_na_1,Base,1430234,4907,
apl_sheet226_pw_na_1,Base_am,1395461,4804,
apl_sheet226_pw_na_1,on_cd_am,1395746,4804,
apl_sheet226_pw_na_1,on_cd_am_trink_pi,1395820,4805,
apl_sheet226_pw_na_1,on_cd_am_trink_pi_or_vf,1395676,4805,
apl_sheet226_pw_na_1,on_cd_am_trink_vf,1395685,4804,
apl_sheet226_pw_na_1,on_cd_hv,1429555,4905,
apl_sheet226_pw_na_1,on_cd_hv_trink_pi,1429944,4906,
apl_sheet226_pw_na_1,on_cd_hv_trink_pi_or_vf,1429875,4906,
apl_sheet226_pw_na_1,on_cd_hv_trink_vf,1430229,4907,
apl_sheet226_pw_na_1,pi_sync_am_trink_pi,1395660,4804,
apl_sheet226_pw_na_1,pi_sync_am_trink_pi_or_vf,1395176,4803,
apl_sheet226_pw_na_1,pi_sync_am_trink_vf,1395658,4804,
apl_sheet226_pw_na_1,pi_sync_hv_trink_pi,1430152,4906,
apl_sheet226_pw_na_1,pi_sync_hv_trink_pi_or_vf,1429565,4905,
apl_sheet226_pw_na_1,pi_sync_hv_trink_vf,1430090,4906,
apl_sheet226_pw_na_1,vf_sync_am,1395883,4805,
apl_sheet226_pw_na_1,vf_sync_am_trink_pi,1395726,4804,
apl_sheet226_pw_na_1,vf_sync_am_trink_pi_or_vf,1395940,4805,
apl_sheet226_pw_na_1,vf_sync_am_trink_vf,1395632,4804,
apl_sheet226_pw_na_1,vf_sync_hv,1395545,4803,
apl_sheet226_pw_na_1,vf_sync_hv_trink_pi,1395872,4805,
apl_sheet226_pw_na_1,vf_sync_hv_trink_pi_or_vf,1395722,4804,
